Event Name,Speaker Name,Display Pic url,Designation,Company,Linkedin
AI & Big Data Expo,Andry Razafinjatovo,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/trafalgar_andry_HD.jpg,CEO and Co-founder ,Ryax Technologies,https://in.linkedin.com/company/mindtreeltd
AI & Big Data Expo,Breght Boschker,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/SkinV.jpg,CTO,SkinVision,https://in.linkedin.com/company/better-business-bureau
AI & Big Data Expo,Grigoraki Evangelia,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Photo-_-Grigoraki-Elina-_-OTE-Group-of-Companies-002.jpg,Senior ICT Sales Manager,OTE Group of Companies ,https://www.linkedin.com/company/improve-digital
AI & Big Data Expo,Patrick Slavenburg,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Patrick.jpg,Member,IoT Council ,https://www.linkedin.com/in/michelmorvan/
AI & Big Data Expo,Matthijs Carpay,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Matthijs-Carpay.jpg,Associate,Protium Digital,https://www.techopedia.com/why-data-scientists-are-falling-in-love-with-blockchain-technology/2/33356
AI & Big Data Expo,Michel Morvan,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Michael-Morvan.jpg,Founder and Executive Chairman,Cosmo Tech,https://www.iottechexpo.com/europe/speaker/alexey-filanovsky/
AI & Big Data Expo,Aslan Mehrabi,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Aslan_Mehrabi_photo_2-002.png,Data Scientist and Blockchain Developer,MXC,https://nl.linkedin.com/in/ericvannispen
AI & Big Data Expo,Alexey Filanovskiy,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Alexey-Filanovskiy.png,Principle Product Manager,Oracle,https://uk.linkedin.com/in/bernard-gallant-3bb30283
AI & Big Data Expo,Eric van Nispen,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Eric-Van-Nispen-z-wB.jpg,General Manager,Wonderware,https://nl.linkedin.com/in/jasperzondervan
AI & Big Data Expo,Bernard Gallant,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/Bernard-Gallant.jpg,Account Executiv,Darktrace,https://uk.linkedin.com/in/waynebutterfield
AI & Big Data Expo,Jasper Zondervan,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Jasper-Zondervan.jpg,Consultant Manufacturing Analytics,Wonderware,https://nl.linkedin.com/in/tamas-erkelens-4a42252a
AI & Big Data Expo,Wayne Butterfield,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Wayne-Butterfield.jpg,Director Cognitive Automation & Innovation,ISG,https://www.ai-expo.net/europe/speaker/henrik-bo-larsen/
AI & Big Data Expo,Tamas Erkelens,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Tamas-Erkelens.jpg,Program Manager of Data Innovation,Municipality of Amsterdam,https://uk.linkedin.com/in/justinvanderlande
AI & Big Data Expo,Henrik Bo Larsen,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Henrik.png,Business Development and Data Insight,REMA1000 / Vigo,https://in.linkedin.com/in/abhishek-ramesh-2a09a01a
AI & Big Data Expo,Justin van der Lande,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Justin-Van-Der-Lande.jpg,Principal Analyst AI & Analytics,Analysys Mason ,https://fr.linkedin.com/in/benjaminsimonneau
AI & Big Data Expo,"Senior Representative, NetApp",https://www.ai-expo.net/europe/wp-content/uploads/2018/12/silhouette.png,.,.,https://www.researchgate.net/profile/Gerard_Van_koten
AI & Big Data Expo,Benjamin Simonneau,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Benj.jpeg,Manager of Professional Services,Zeenea ,http://sarahroseportraits.com/blog/2019-senior-rep-details/
AI & Big Data Expo,Gerard van der Hoeven,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Gerard-002.jpg,Managing Partner,Protium.Digital,https://nl.linkedin.com/in/peterbroekroelofs
AI & Big Data Expo,"Senior Rep, Radicalbit",https://www.ai-expo.net/europe/wp-content/uploads/2018/12/silhouette.png,Radicalbit,,https://in.linkedin.com/pub/steven-nooijen/6a/506/607?trk=biz_employee_pub
AI & Big Data Expo,Peter Broekroelofs,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Peter-Broekroelofs.jpg,Chief Design Officer,Dynniq,https://nl.linkedin.com/in/valentiroberto
AI & Big Data Expo,Steven Nooijen,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/steven-nooijen.png,Data Science Consultant,GoDataDriven,https://www.linkedin.com/in/jakubkrcmar/de
AI & Big Data Expo,Roberto Valenti,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Roberto-Valenti.jpg,CTO & co-founder,Sightcorp,https://nl.linkedin.com/in/marcovanheerde
AI & Big Data Expo,Pieter van der Toorn,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/5.toorn_pieter-van-der_8678.jpg,MD Risk Manager,ABN AMRO Bank N.V.,https://www.linkedin.com/in/rogier-van-beugen-b4465a1/
AI & Big Data Expo,Jakub Krcmar,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Jakub-Krcmar.jpg,Co-founder ,Value Protocol,https://www.linkedin.com/in/pighed
AI & Big Data Expo,Marco Van Heerde,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Marco-Van-Heerde.jpg,Lead - Location Products,KLM Royal Dutch Airlines,https://nl.linkedin.com/in/bret-baas-33b35b1
AI & Big Data Expo,Rogier van Beugen,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/rogier-van-Beugen.jpg,"Director, Innovation & Venturing",KLM - Air France,https://nl.linkedin.com/in/lexknape
AI & Big Data Expo,Maxim Pervunin,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Pervunin_pic.jpg,Managing Partner,TFH Russia,https://www.crunchbase.com/person/jan-morgenthal
AI & Big Data Expo,Mark Stephen Meadows,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Meadows-Headshot-SEED-1.png,Trustee & Co-Founder,Seed Vault Ltd,https://nl.linkedin.com/in/marritkuin
AI & Big Data Expo,Bret Baas,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Bret-Baas.jpg,CIO / CTO,Rai Amsterdam,https://coschedule.com/blog/content-curation-guide/
AI & Big Data Expo,Pieter Bons,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Pieter-Bons.jpg,Data Scientist,Ortec,https://www.linkedin.com/in/irakli-beridze-8014b8a/
AI & Big Data Expo,Jan Morgenthal,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Jan-Morganthal.jpg,Chief Product Owner Artificial Intelligence,Deutsche Telekom,https://jp.linkedin.com/in/amcpatrix
AI & Big Data Expo,Marrit Kuin,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Marrit-Kuin.jpg,Global Digital Innovation Manager,Royal FrieslandCampina,https://uk.linkedin.com/in/martinjruane
AI & Big Data Expo,Allison Kang,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Allison-Kang-new-1.jpg,"VP, Content Curator, Spokesperson",BPU Holdings,https://www.linkedin.com/pub/dir/Alexander/Chub
AI & Big Data Expo,Irakli Beridze,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Irakli-Beridze.jpg,Head of the Centre for Artificial Intelligence and Robotics,"United Nations, UNICRI",https://de.linkedin.com/in/fwesterheide
AI & Big Data Expo,Alex Bunardzic,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Alex-Bunardzic.jpg,"Former Senior Software Development, Research and Development Staples",Staples,https://in.linkedin.com/company/bpu-holdings
AI & Big Data Expo,Martin Ruane,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Martin-Ruane.jpg,Programme Director,Engie,https://nl.linkedin.com/in/pratyushsinhahec
